frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.675,371.698,320.0,0.15,0.05,0.001
1,-0.688,373.108,320.0,0.184,0.05,0.545
2,-0.696,373.947,320.0,0.118,0.05,1.257
3,-0.699,369.886,320.0,0.062,0.05,2.189
4,-0.699,368.193,320.0,0.042,0.05,2.982
5,-0.674,365.239,320.0,-0.108,0.05,3.674
6,-0.655,364.563,320.0,-0.176,0.05,4.189
7,-0.684,372.075,320.0,-0.026,0.05,4.542
8,-0.695,380.511,320.0,0.124,0.05,5.078
9,-0.698,381.447,320.0,0.072,0.05,5.548
10,-0.699,373.459,320.0,0.045,0.05,5.971
11,-0.674,365.868,320.0,-0.105,0.05,6.295
12,-0.665,365.868,320.0,-0.072,0.05,6.49
13,-0.661,365.868,320.0,-0.007,0.05,6.584
14,-0.66,365.868,320.0,0.015,0.05,6.876
15,-0.66,365.868,320.0,0.023,0.05,7.136
16,-0.66,365.868,320.0,0.026,0.05,7.373
17,-0.66,365.868,320.0,0.027,0.05,7.598
18,-0.66,365.868,320.0,0.027,0.05,7.736
19,-0.66,365.868,320.0,0.027,0.05,7.914
20,-0.643,368.047,320.0,-0.123,0.05,8.109
21,-0.596,362.723,320.0,-0.273,0.05,8.081
22,-0.579,362.723,320.0,-0.139,0.05,7.662
23,-0.574,362.723,320.0,-0.035,0.05,7.648
24,-0.572,362.723,320.0,0.001,0.05,7.802
25,-0.571,362.723,320.0,0.013,0.05,8.002
26,-0.571,362.723,320.0,0.017,0.05,8.135
27,-0.571,362.723,320.0,0.019,0.05,8.259
28,-0.57,362.723,320.0,0.019,0.05,8.337
29,-0.57,362.723,320.0,0.02,0.05,8.444
30,-0.2,320.0,320.0,-0.13,0.05,8.527
